"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"P28370","SMARCA1","Probable global transcription activator SNF2L1",0.000116225717747964,-0.406905602071506,-0.122490791627235,0.000264316685066552,3.57787542103924,"Unchanged"
"P28472","GABRB3","Gamma-aminobutyric acid receptor subunit beta-3",1.00367475613192e-06,0.610097599893806,0.183657677850638,2.8814369404487e-06,5.54039088040844,"Unchanged"
"P28482","MAPK1","Mitogen-activated protein kinase 1",2.51913076211425e-22,0.719871487465138,0.216702910750254,4.66784095248751e-21,20.3308839501061,"Unchanged"
"P28676","GCA","Grancalcin",2.58095159927028e-06,0.53988689269417,0.162522148966766,7.10265841169891e-06,5.14857907135941,"Unchanged"
"P28702","RXRB","Retinoic acid receptor RXR-beta",0.120569084167864,-0.142770219399789,-0.042978118526864,0.160657780237597,0.794098237853273,"Unchanged"
"P28838","LAP3","Cytosol aminopeptidase",2.30435668922883e-06,-0.423336955808711,-0.127437121971499,6.38421650275496e-06,5.19489239353116,"Unchanged"
"P28907","CD38","ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1",1.41540368508792e-27,-2.51972627169507,-0.758513188642788,5.80736761982798e-26,25.2360206812494,"Downregulated"
"P29120","PCSK1","Neuroendocrine convertase 1",5.44622955623339e-08,0.547060423853275,0.164681597020487,1.78766001576746e-07,6.74771507352437,"Unchanged"
"P29144","TPP2","Tripeptidyl-peptidase 2",0.475104801933385,-0.0439410153191089,-0.0132275636509823,0.54005563979664,0.267561494229164,"Unchanged"
"P29218","IMPA1","Inositol monophosphatase 1",1.15241562313607e-18,0.922417849700667,0.27767544129577,1.30081726085845e-17,16.8857837089534,"Unchanged"
"P29323","EPHB2","Ephrin type-B receptor 2",0.981694165028292,-0.00208708861323093,-0.000628276276191236,0.986704269399245,0.00581299263226119,"Unchanged"
"P29372","MPG","DNA-3-methyladenine glycosylase",9.24478422587594e-10,-0.748528531924455,-0.225329540719585,3.74188477210586e-09,8.42690959032855,"Unchanged"
"P29375","KDM5A","Lysine-specific demethylase 5A",0.924715555114383,-0.0116700907660778,-0.00351304737271067,0.941655240272336,0.0261080724227331,"Unchanged"
"P29401","TKT","Transketolase",2.20139611213127e-05,-0.270736859676221,-0.0814999156944127,5.4839983378825e-05,4.26090268551064,"Unchanged"
"P29466","CASP1","Caspase-1",0.160057931784026,0.157482868462187,0.0474070672103233,0.207071945155273,0.683878736884377,"Unchanged"
"P29475","NOS1","Nitric oxide synthase 1",0.00370702657709024,0.267197001916252,0.0804343123282782,0.00672966399680881,2.17200661898177,"Unchanged"
"P29508","SERPINB3","Serpin B3",0.0785710692393864,0.352703578044657,0.106174356569454,0.109922951140063,0.958911620471571,"Unchanged"
"P29558","RBMS1","RNA-binding motif, single-stranded-interacting protein 1",0.0770497190201782,0.207259924355138,0.0623914541299442,0.108079713717153,0.966255814348956,"Unchanged"
"P29590","PML","Protein PML",3.38772265703823e-09,-0.661106423733773,-0.199012863870008,1.28871811671989e-08,7.88984206615374,"Unchanged"
"P29597","TYK2","Non-receptor tyrosine-protein kinase TYK2",0.0668316776758849,0.196919855264784,0.0592787831765097,0.0948858402100669,1.0227985923931,"Unchanged"
"P29622","SERPINA4","Kallistatin",5.70902940052387e-05,0.461448994449333,0.138909988798231,0.000134906889467984,3.86996587107289,"Unchanged"
"P29692","EEF1D","Elongation factor 1-delta",8.00077553903535e-09,-0.485465264331394,-0.146139606416693,2.91025571454199e-08,7.5360688493181,"Unchanged"
"P29692-2","EEF1D","Isoform 2 of Elongation factor 1-delta",1.05786855042145e-15,0.825394666594375,0.248468552905978,8.08413294684594e-15,14.0923665529491,"Unchanged"
"P29762","CRABP1","Cellular retinoic acid-binding protein 1",8.08838306124228e-06,0.423239524659346,0.127407792273028,2.10787237962734e-05,4.67615568686624,"Unchanged"
"P29966","MARCKS","Myristoylated alanine-rich C-kinase substrate",2.61212168290889e-18,-1.18693173207463,-0.357302054159866,2.80894770051341e-17,16.5514563468041,"Downregulated"
"P29972","AQP1","Aquaporin-1",0.0431145521558517,0.251743002809118,0.0757821950440663,0.0638977871447615,1.19451418170795,"Unchanged"
"P29992","GNA11","Guanine nucleotide-binding protein subunit alpha-11",0.144840744829548,0.0825513439077845,0.0248504306986162,0.189339513390873,0.722758743369113,"Unchanged"
"P30038","ALDH4A1","Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",0.00608185515664069,-0.287666826051518,-0.0865963433989598,0.0106159097479677,1.97404278231829,"Unchanged"
"P30039","PBLD","Phenazine biosynthesis-like domain-containing protein",1.00785980697352e-12,-0.724501457999684,-0.218096670760193,5.59804806564743e-12,11.2519633769388,"Unchanged"
"P30040","ERP29","Endoplasmic reticulum resident protein 29",3.69702946004005e-05,0.339177020014985,0.102102456864433,8.96048666246698e-05,4.04766840227043,"Unchanged"
"P30041","PRDX6","Peroxiredoxin-6",2.99563707127941e-13,0.722933298801811,0.217624607803657,1.7439971564467e-12,11.7584542275115,"Unchanged"
"P30043","BLVRB","Flavin reductase (NADPH)",1.26931784753648e-07,0.531712338097341,0.160061362831928,3.99698854411556e-07,6.39826709648208,"Unchanged"
"P30044","PRDX5","Peroxiredoxin-5, mitochondrial",1.70275423182263e-06,0.230343979263079,0.0693404470787888,4.77505489013565e-06,5.32102163175646,"Unchanged"
"P30046","DDT","D-dopachrome decarboxylase",0.0545955966280843,0.166609422090692,0.0501544336095396,0.0789442935929064,1.10267925705125,"Unchanged"
"P30047","GCHFR","GTP cyclohydrolase 1 feedback regulatory protein",5.20843866389345e-10,0.624492653053951,0.187991020641019,2.16798114192135e-09,8.66394449980668,"Unchanged"
"P30048","PRDX3","Thioredoxin-dependent peroxide reductase, mitochondrial",0.0203033921034309,-0.187040459289232,-0.0563047886488266,0.0322542709769415,1.49141276974481,"Unchanged"
"P30049","ATP5F1D","ATP synthase subunit delta, mitochondrial",6.44657552261389e-09,0.475077023763756,0.143012434403661,2.37119770957191e-08,7.62503223320176,"Unchanged"
"P30050","RPL12","Large ribosomal subunit protein uL11",0.0431490095108473,-0.203144715930103,-0.0611526529555995,0.0639213674099012,1.19435394313989,"Unchanged"
"P30084","ECHS1","Enoyl-CoA hydratase, mitochondrial",2.56305504946825e-11,0.399996400817505,0.120410914803702,1.23546422769124e-10,9.90816982488045,"Unchanged"
"P30085","CMPK1","UMP-CMP kinase",4.9693281927504e-07,0.360132280793281,0.108410618925661,1.47644738071675e-06,5.83078202629563,"Unchanged"
"P30086","PEBP1","Phosphatidylethanolamine-binding protein 1",3.99326357715267e-08,0.479214350573328,0.144257893875206,1.33554419395019e-07,6.87434173634262,"Unchanged"
"P30101","PDIA3","Protein disulfide-isomerase A3",0.000108536421968214,0.270695590895063,0.0814874925533995,0.00024813981977675,3.60530353753486,"Unchanged"
"P30153","PPP2R1A","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform",6.12721221884928e-16,0.355426000979399,0.106993887533695,4.8103500939098e-15,14.3178233148278,"Unchanged"
"P30154","PPP2R1B","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform",1.74968021522666e-08,0.404679346135648,0.121820621812517,6.11589539734146e-08,7.21353995111222,"Unchanged"
"P30260","CDC27","Cell division cycle protein 27 homolog",0.352955245152519,0.0876349920752055,0.0263807612844121,0.415670682527988,0.381250605432009,"Unchanged"
"P30273","FCER1G","High affinity immunoglobulin epsilon receptor subunit gamma",0.0660771510588937,-0.275460086775667,-0.082921748727679,0.0939500417180186,1.02710302271725,"Unchanged"
"P30405","PPIF","Peptidyl-prolyl cis-trans isomerase F, mitochondrial",1.50452167927397e-14,-1.23256880128331,-0.371040180905874,1.00490968364685e-13,12.9978729687473,"Downregulated"
"P30419","NMT1","Glycylpeptide N-tetradecanoyltransferase 1",5.09171162316242e-16,0.409916036450033,0.12339702267515,4.06825382807829e-15,14.3905919582334,"Unchanged"
"P30519","HMOX2","Heme oxygenase 2",2.09505441432082e-15,0.507111379923412,0.1526557364995,1.54782530309897e-14,13.8102780579823,"Unchanged"
"P30520","ADSS2","Adenylosuccinate synthetase isozyme 2",1.57336268341903e-14,0.633708143116763,0.190765159574669,1.04987308584776e-13,12.9788631975466,"Unchanged"
"P30530","AXL","Tyrosine-protein kinase receptor UFO",0.118748731523008,0.180178141303993,0.0542390250954852,0.158477251962845,0.800033068184552,"Unchanged"
"P30531","SLC6A1","Sodium- and chloride-dependent GABA transporter 1",0.000135683627600105,0.461919294294843,0.139051563158686,0.000305742806488239,3.51464375224496,"Unchanged"
"P30533","LRPAP1","Alpha-2-macroglobulin receptor-associated protein",0.285607438149416,-0.07267360059266,-0.0218769336712943,0.346006595680571,0.460915622477817,"Unchanged"
"P30556","AGTR1","Type-1 angiotensin II receptor",0.0125045791381633,0.407359239576808,0.122627350123489,0.020620589473531,1.6856989238516,"Unchanged"
"P30566","ADSL","Adenylosuccinate lyase",0.992369738460756,-0.000878566606186126,-0.000264474901650705,0.993711298602234,0.00273977217777642,"Unchanged"
"P30613","PKLR","Pyruvate kinase PKLR",0.0951347992981283,0.157069717314998,0.0472826963222767,0.130241146288381,0.885251790092099,"Unchanged"
"P30622","CLIP1","CAP-Gly domain-containing linker protein 1",6.14648058232584e-09,0.451709833744188,0.13597820929339,2.26807765813555e-08,7.644342079443,"Unchanged"
"P30626","SRI","Sorcin",3.95170982929649e-26,-1.21651673457139,-0.366208027333186,1.32228814822042e-24,23.8786738946643,"Downregulated"
"P30711","GSTT1","Glutathione S-transferase theta-1",1.66342982574064e-10,-0.639368426173918,-0.192469074558821,7.33121597751293e-10,9.13482398599652,"Unchanged"
"P30740","SERPINB1","Leukocyte elastase inhibitor",1.99323015778409e-08,0.568705483691734,0.171197409289805,6.89033875506807e-08,7.16175942601106,"Unchanged"
