"PG.ProteinGroups","PG.Genes","PG.ProteinDescriptions","pValue","log2FC","log10FC","FDR","log10qValue","Expression"
"Q99996","AKAP9","A-kinase anchor protein 9",0.0417833162281576,-0.167914545023167,-0.0505473147602432,0.0677198210112134,1.16928419843589,"Unchanged"
"Q9BPU6","DPYSL5","Dihydropyrimidinase-related protein 5",0.21898343955429,-0.0907656163851893,-0.0273231731068721,0.28883521791958,0.539349853984542,"Unchanged"
"Q9BPW8","NIPSNAP1","Protein NipSnap homolog 1",0.00162985309163771,0.324736640843324,0.0977554695850016,0.00381220813052553,2.41882339673485,"Unchanged"
"Q9BPX5","ARPC5L","Actin-related protein 2/3 complex subunit 5-like protein",9.12814065196818e-09,0.423098380428326,0.127365303625776,7.21305731592557e-08,7.14188061683374,"Unchanged"
"Q9BPX6","MICU1","Calcium uptake protein 1, mitochondrial",0.32632857553867,-0.0777683748339717,-0.0234106135390654,0.404638041228288,0.392933290327184,"Unchanged"
"Q9BPY3","FAM118B","Protein FAM118B",4.96081264010821e-07,-0.557062264618317,-0.167692451102619,2.66522849012205e-06,5.57426555296181,"Unchanged"
"Q9BPY8","HOPX","Homeodomain-only protein",1.25760152094849e-06,0.664485979307646,0.200030211469757,6.1089832867498e-06,5.21403106303009,"Unchanged"
"Q9BQ04","RBM4B","RNA-binding protein 4B",1.34775975396482e-05,-0.594912684032156,-0.179086562694647,5.1669121157283e-05,4.28676892532851,"Unchanged"
"Q9BQ16","SPOCK3","Testican-3",0.191461460366659,0.105233941040546,0.0316785728151392,0.25751099440144,0.589204224075427,"Unchanged"
"Q9BQ24-2","ZFYVE21","Isoform 2 of Zinc finger FYVE domain-containing protein 21",0.713555925754685,-0.02420716513745,-0.00728708281636384,0.768522030660475,0.114343678382663,"Unchanged"
"Q9BQ39","DDX50","ATP-dependent RNA helicase DDX50",0.00304958102165397,-0.283426609736865,-0.0853199111001453,0.00665003542621348,2.17717604110772,"Unchanged"
"Q9BQ48","MRPL34","Large ribosomal subunit protein bL34m",2.61505684702463e-06,-0.571418866840009,-0.172014219007165,1.17737340604446e-05,4.92908577805211,"Unchanged"
"Q9BQ52","ELAC2","Zinc phosphodiesterase ELAC protein 2",0.000413191772497118,-0.315211410538018,-0.0948880895474971,0.00112308000308463,2.94958930548331,"Unchanged"
"Q9BQ61","TRIR","Telomerase RNA component interacting RNase",0.0162075905595891,-0.319462465384714,-0.0961677845695651,0.0293148574461421,1.5329122133845,"Unchanged"
"Q9BQ67","GRWD1","Glutamate-rich WD repeat-containing protein 1",0.000140337201213478,-0.323585479309049,-0.0974089354333303,0.000425580434652225,3.37101834621558,"Unchanged"
"Q9BQ69","MACROD1","ADP-ribose glycohydrolase MACROD1",0.000512050765752892,-0.381589437878028,-0.114869866829844,0.00136119009962772,2.86608121832783,"Unchanged"
"Q9BQ70","TCF25","Ribosome quality control complex subunit TCF25",0.0287327335795708,-0.231056347624623,-0.0695548913235756,0.0485506806423208,1.31380467724656,"Unchanged"
"Q9BQ95","ECSIT","Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial",0.00474580202661817,-0.233411894013419,-0.0702639814427812,0.00981777111929144,2.00798709678162,"Unchanged"
"Q9BQA1","WDR77","Methylosome protein WDR77",0.0966170053652861,-0.0815973447524794,-0.0245632483370313,0.141577597360314,0.849005462130149,"Unchanged"
"Q9BQC6","MRPL57","Large ribosomal subunit protein mL63",0.000101804832018704,-0.469196113905561,-0.141242104134548,0.000319408605873885,3.49565338677866,"Unchanged"
"Q9BQD3","KXD1","KxDL motif-containing protein 1",0.0211865780300458,-0.207087817211272,-0.0623396447171724,0.0372358700563757,1.42903849394178,"Unchanged"
"Q9BQE5","APOL2","Apolipoprotein L2",0.131296217958426,0.142386813989983,0.0428627019980127,0.185798569161862,0.730957634839151,"Unchanged"
"Q9BQG0","MYBBP1A","Myb-binding protein 1A",0.00403496594600869,-0.27937586976109,-0.0841005168628018,0.0085237573600484,2.06936892154487,"Unchanged"
"Q9BQG1","SYT3","Synaptotagmin-3",1.10063159155489e-05,0.429931918755196,0.129422403638684,4.28866792571389e-05,4.36767758015714,"Unchanged"
