"","PG.ProteinGroups","20241217_HeLa1_shift","20241217_HeLa2_shift","20241217_HeLa3_shift","20241218_HeLa1_shift","20241219_HeLa1_shift","20241222_HeLa1_shift","20241222_HeLa2_shift"
"46","P0DMV8;P0DMV9",6585.384765625,7676.37109375,7890.85400390625,8057.0087890625,7785.43505859375,5296.56103515625,5766.35498046875
"47","P0DP23;P0DP24;P0DP25",1884.74157714844,2132.3134765625,2020.37890625,2129.32690429688,2060.34375,1451.88781738281,1605.10290527344
"48","P10412",6983.57763671875,6057.60107421875,7121.212890625,6577.0234375,6496.82861328125,6063.13623046875,6428.2275390625
"49","P10599",3368.29125976562,3286.47607421875,3528.74096679688,3797.2587890625,4040.87109375,2885.33984375,3235.15405273438
"50","P10809",4504.43359375,4636.005859375,4823.84033203125,4902.81982421875,4292.88916015625,3471.38208007812,3539.74243164062
"51","P11021",1475.689453125,1737.033203125,1591.67907714844,1842.14819335938,1651.62329101562,1152.03747558594,1245.0791015625
"52","P11142",5410.56005859375,5794.37646484375,5951.64208984375,5361.375,4181.18505859375,3950.8349609375,3983.15307617188
"53","P12004",1196.28662109375,1144.06945800781,1245.482421875,1212.37683105469,1013.28607177734,NA,NA
"54","P13639",4536.5068359375,4870.4345703125,5383.60302734375,5128.12060546875,4855.39697265625,4254.55224609375,3867.40209960938
"55","P13645",1023.27203369141,953.25732421875,1227.28186035156,1208.97009277344,NA,NA,NA
"56","P13929",7804.302734375,9452.484375,8711.123046875,7805.65771484375,5057.88427734375,3741.873046875,3014.29663085938
"57","P14136;P14136-2;P14136-3",10952.470703125,NA,NA,2042.01208496094,NA,NA,NA
"58","P14174",2055.46728515625,2650.52880859375,2399.58178710938,1929.7587890625,2039.56079101562,1666.76391601562,1630.81921386719
"59","P14618",13472.10546875,15023.8115234375,14628.68359375,15485.3310546875,10924.30859375,11772.494140625,10614.6796875
"60","P14625",1111.95458984375,1192.15698242188,1315.95886230469,1284.63208007812,1135.45446777344,1228.35192871094,1071.19934082031
"61","P15880",1807.89978027344,1904.14111328125,2089.76513671875,2060.43139648438,1784.89709472656,1829.35498046875,1687.30700683594
"62","P16403",4318.38525390625,4310.240234375,4421.20068359375,4357.99365234375,4729.6669921875,6322.91455078125,4557.4736328125
"63","P17931",1456.92041015625,1420.28149414062,1456.29809570312,1281.35009765625,NA,NA,NA
"64","P18077",1104.66687011719,1415.849609375,1610.32666015625,1481.04772949219,1467.77087402344,1064.81945800781,1128.99853515625
"65","P18124",1047.80871582031,1351.98315429688,1484.72839355469,1178.64184570312,1128.39697265625,984.841918945312,1050.08715820312
"66","P18621;P18621-3",1186.92236328125,1206.50793457031,1222.50988769531,1136.79443359375,NA,1046.23193359375,NA
"67","P18669",1269.68591308594,1287.818359375,1266.81799316406,1274.630859375,NA,NA,NA
"68","P19338",2260.13818359375,2387.00219726562,2537.92309570312,2385.13037109375,2436.37451171875,2054.35278320312,2027.05773925781
"69","P20674",1099.61791992188,1345.27734375,1481.93029785156,1296.47180175781,1414.72424316406,1208.54992675781,1220.50158691406
"70","P22234",1267.21630859375,1277.74963378906,1236.77062988281,1510.84265136719,1165.74353027344,1036.8818359375,NA
"71","P22392-2",4060.24194335938,4477.62744140625,4472.47314453125,4329.43359375,3124.15673828125,2970.19384765625,2584.59643554688
"72","P22626",3527.064453125,3961.64013671875,4595.09033203125,4153.89794921875,3577.04370117188,3148.3115234375,3007.80249023438
"73","P23284",1696.99670410156,1854.96765136719,1846.22827148438,1745.48315429688,NA,1206.45727539062,1381.54736328125
"74","P23396",1755.60522460938,1996.77978515625,2248.19555664062,1879.89038085938,1700.94189453125,1816.08935546875,1477.3603515625
"75","P23528",1598.58544921875,1564.9287109375,1525.87927246094,1695.89868164062,1667.37622070312,1882.03002929688,1852.16247558594
"76","P25398",1193.85388183594,1084.11022949219,1206.72448730469,995.096740722656,NA,NA,NA
"77","P25705",1338.91552734375,1554.16613769531,1795.61169433594,1759.72619628906,1335.64709472656,1365.53784179688,1303.90576171875
"78","P26038",1724.15869140625,1863.89807128906,1955.20324707031,1814.42041015625,1633.24255371094,1550.72973632812,1421.85961914062
"79","P26373",2079.66796875,2144.4716796875,2132.18603515625,2249.64477539062,2055.34008789062,1296.30798339844,1345.17895507812
"80","P26447",2501.06958007812,2809.81396484375,2862.04907226562,2546.18627929688,1988.37915039062,2045.37744140625,2079.02758789062
"81","P26599;P26599-1;P26599-2",1391.3349609375,1224.89453125,1471.51062011719,1495.95092773438,1595.93041992188,957.609069824219,950.332885742188
"82","P26641",2683.77612304688,3051.34204101562,3154.25073242188,2761.56909179688,NA,2410.19458007812,2184.80102539062
"83","P27635",1309.51232910156,1186.47814941406,1543.60339355469,1428.71240234375,NA,1146.51000976562,1108.62365722656
"84","P27797",1242.0654296875,1083.89880371094,1450.89770507812,1234.94641113281,1518.85656738281,1144.69030761719,1367.5322265625
"85","P27824;P27824-2",1070.91040039062,1176.49438476562,1269.92199707031,1353.86511230469,1065.97778320312,NA,1248.60656738281
"86","P29401;P29401-2",2631.74609375,3060.419921875,3198.37719726562,3042.9482421875,2866.0322265625,2663.86352539062,2334.3525390625
"87","P29692",1130.32360839844,1237.6552734375,1331.01916503906,1216.2451171875,1105.2373046875,NA,NA
"88","P30041",1793.90649414062,2096.6083984375,2061.6123046875,1780.80517578125,NA,1340.44494628906,1270.57507324219
"89","P30044;P30044-2",1281.63977050781,1275.86254882812,1441.87109375,1297.55395507812,1155.80749511719,1151.88732910156,NA
"90","P30050",1950.64306640625,2171.92700195312,2210.0068359375,2162.78076171875,NA,1505.76184082031,1483.44580078125
"91","P30086",1369.23803710938,1475.06701660156,1390.54431152344,1445.54138183594,1642.5810546875,1436.84753417969,1282.42895507812
"92","P30101",2074.1201171875,2245.75170898438,2406.623046875,2337.7890625,2069.021484375,1973.30407714844,1708.80908203125
"93","P31327;P31327-3",1776.14599609375,1862.53894042969,1893.31994628906,1873.33764648438,1799.95227050781,1524.29528808594,1467.28234863281
"94","P31943",1547.75341796875,1558.22583007812,1679.12060546875,1741.04833984375,1748.83654785156,1267.86938476562,1427.45703125
"95","P31946;P31946-2",5503.07763671875,5807.2890625,6317.833984375,6481.9462890625,6220.31982421875,4746.59375,4811.26708984375
"96","P31947",1357.00964355469,1432.38537597656,1405.89855957031,1531.22399902344,1366.64782714844,1085.90698242188,1291.86096191406
"97","P31949",5370.58203125,5847.59521484375,5878.51953125,5989.3037109375,5684.72705078125,4831.0224609375,4698.0009765625
"98","P32119",1797.111328125,2082.76489257812,2313.2373046875,2289.88989257812,2096.60693359375,1675.7587890625,1672.41809082031
"99","P35241;P35241-5",1245.62683105469,1281.18823242188,1383.20495605469,1227.30017089844,1347.03845214844,NA,NA
"100","P35268",2167.98803710938,2381.83544921875,2624.81420898438,2158.859375,2008.02490234375,1778.60656738281,1588.17724609375
"101","P36578",1394.45471191406,1628.68127441406,1482.16015625,1367.72644042969,NA,1130.80041503906,1059.78894042969
"102","P37802",2065.51196289062,2147.38330078125,2216.91552734375,2052.4306640625,NA,1644.62072753906,1611.1982421875
"103","P38159",1336.26013183594,1341.21618652344,1399.41931152344,1359.57836914062,1473.26928710938,1071.14379882812,1257.24670410156
"104","P38646",1888.79284667969,2069.90869140625,2028.9638671875,2031.00036621094,1894.65307617188,1604.32348632812,1664.33752441406
"105","P39019",1665.66198730469,1705.36145019531,1901.4052734375,1761.21142578125,1672.47705078125,1402.21691894531,1549.10290527344
"106","P39687",1042.83264160156,1362.8388671875,1067.36279296875,1139.54968261719,1291.28747558594,1477.95227050781,1332.876953125
"107","P40429",1209.00244140625,1322.67236328125,1544.67993164062,1102.17333984375,1316.10009765625,1387.81298828125,1291.14111328125
"108","P40926",1369.26696777344,1088.95446777344,1193.52783203125,1242.265625,1157.96960449219,NA,NA
"109","P41250;P41250-2",1326.74963378906,1625.314453125,NA,NA,1215.78820800781,1480.53820800781,1193.76770019531
"110","P42677",2129.98486328125,2789.84252929688,2901.32690429688,3029.25,2729.74340820312,2022.658203125,2011.72729492188
"111","P42766",1746.63562011719,2226.26611328125,2393.73291015625,2334.83374023438,2170.38745117188,2307.55297851562,2161.68481445312
"112","P46776",1719.20959472656,2123.25830078125,2353.30029296875,1624.55249023438,1798.82055664062,1793.37780761719,1978.14282226562
"113","P46777",1361.40710449219,1385.3291015625,1405.47082519531,1404.25634765625,1348.65295410156,1057.15942382812,1393.23889160156
"114","P46779",1531.94250488281,1705.09326171875,1742.4951171875,1855.55212402344,1761.09375,1394.95812988281,1450.91027832031
"115","P46781",1452.23474121094,1613.78283691406,1611.10559082031,1551.34252929688,1306.66845703125,1248.83801269531,1107.88659667969
"116","P46782",1406.48974609375,1329.2646484375,1707.91259765625,1634.51501464844,1796.11389160156,1278.66040039062,1335.23767089844
"117","P47914",2934.17651367188,3008.15991210938,3114.21728515625,3389.53588867188,3412.2841796875,2385.46020507812,2051.55322265625
"118","P49207",1605.17053222656,1577.22607421875,1571.14672851562,1370.4033203125,1293.03332519531,1335.80908203125,1400.52514648438
"119","P49411",1365.66845703125,1586.62341308594,1502.517578125,1596.380859375,1538.27038574219,1137.18542480469,1099.85192871094
"120","P49773",1475.15222167969,1730.57214355469,2086.39672851562,2229.25512695312,1522.9501953125,1605.8671875,1556.66271972656
"121","P50238",2338.41455078125,2535.55810546875,2319.77563476562,2587.25268554688,2687.3701171875,2284.71484375,2329.5263671875
"122","P50914",1009.30682373047,1103.32653808594,1211.67175292969,1511.50939941406,1017.5322265625,NA,NA
"123","P50990",1159.48449707031,1050.0634765625,1385.12475585938,1300.83728027344,1270.99450683594,1101.7119140625,NA
"124","P50991",1211.21020507812,1359.52233886719,1333.30249023438,1389.91760253906,1280.61279296875,1110.0419921875,1055.06298828125
"125","P52272;P52272-2",1132.466796875,1146.77795410156,1152.53833007812,1194.11413574219,1040.03247070312,NA,NA
"126","P53999",2541.7861328125,2440.91552734375,2505.93920898438,2327.92456054688,2212.65869140625,2287.12670898438,2024.3974609375
"127","P60174;P60174-3",3189.98095703125,3427.21459960938,3798.44360351562,3815.95922851562,3731.09545898438,2771.87622070312,2772.37573242188
"128","P60709",29282.283203125,31586.841796875,34438.0546875,33465.015625,28692.63671875,22373.6953125,22023.35546875
"129","P60842",1625.97705078125,1776.44482421875,1760.15502929688,1819.025390625,1558.69921875,1197.98718261719,1223.15441894531
"130","P60866;P60866-2",1365.10021972656,1599.1943359375,1429.7021484375,1421.91687011719,1321.12072753906,1619.58422851562,1901.24475097656
"131","P61088",1139.71313476562,1237.865234375,1425.431640625,1108.31555175781,NA,NA,NA
"132","P61247",1380.34497070312,1584.03051757812,1733.51306152344,1664.37487792969,1652.2265625,1539.66760253906,1369.31335449219
"133","P61254",1689.70715332031,1510.537109375,1593.85522460938,1446.45654296875,1263.14331054688,1351.55651855469,1061.78149414062
"134","P61313",1875.73461914062,1995.34423828125,2275.4931640625,2358.79858398438,2145.86010742188,1704.07861328125,1502.19348144531
"135","P61353",2133.07983398438,2438.34228515625,2445.46557617188,1958.88452148438,1789.43237304688,1635.15600585938,1539.30822753906
"136","P61604",2468.78100585938,2635.58642578125,2739.34912109375,2730.26708984375,2872.0546875,2476.7978515625,2243.84790039062
"137","P61978-3",2371.17602539062,2544.8349609375,2577.30493164062,2646.10107421875,2363.787109375,2107.17626953125,1889.57348632812
"138","P62081",1493.68603515625,1558.341796875,1746.12634277344,1453.77551269531,1639.28454589844,921.078430175781,1244.68579101562
"139","P62241",1355.0576171875,1738.06604003906,1850.3818359375,1679.84069824219,1160.46752929688,1329.50866699219,1472.41784667969
"140","P62244",1956.64965820312,1944.6767578125,2279.25122070312,2905.44775390625,NA,1830.90905761719,1790.32849121094
"141","P62249",1137.88464355469,1187.48986816406,1414.03503417969,1251.78149414062,NA,NA,1205.60693359375
"142","P62258",1397.87963867188,1431.41845703125,1513.97973632812,1613.45153808594,1503.55773925781,1447.1962890625,1266.42492675781
"143","P62263",1457.87731933594,1752.74926757812,1960.90173339844,2178.18701171875,1713.56689453125,1425.00476074219,1322.94079589844
"144","P62269",1235.15454101562,1288.95263671875,1285.85693359375,1422.33569335938,1294.53881835938,1312.72229003906,1053.57348632812
"145","P62277",1866.12280273438,2218.2490234375,2099.146484375,2133.62524414062,1904.24633789062,1813.09741210938,1757.74047851562
"146","P62280",1131.91662597656,1189.2109375,1241.24340820312,1363.48828125,1346.08679199219,NA,NA
"147","P62318;P62318-2",1271.09594726562,1072.55993652344,1047.84118652344,NA,1110.12707519531,NA,NA
"148","P62328",2399.57421875,1687.37756347656,2406.958984375,2009.1416015625,2322.3310546875,2023.4169921875,2498.4091796875
"149","P62701",1955.75744628906,2103.25170898438,2245.130859375,2395.45458984375,2474.39306640625,1662.08618164062,1687.18054199219
"150","P62750",2402.41723632812,2724.26489257812,2855.70751953125,2620.08911132812,NA,1933.6572265625,1720.70556640625
"151","P62753",1661.66918945312,1933.7177734375,1989.53674316406,1728.21008300781,1207.62744140625,1450.89025878906,1451.89465332031
"152","P62805",50418.4921875,53034.6171875,56071.3828125,48269.41796875,47206.22265625,41780.9609375,36614.3125
"153","P62826",2558.88330078125,3090.10766601562,2911.30078125,2981.79028320312,3605.40649414062,2215.02685546875,2011.94372558594
"154","P62829",1563.5498046875,1706.17663574219,1772.18176269531,1854.37268066406,1835.95971679688,1267.333984375,1361.97424316406
"155","P62851",2671.54077148438,2846.02661132812,3090.15283203125,2533.21826171875,2973.71142578125,2453.82177734375,2347.83959960938
"156","P62854",2010.61376953125,2162.75708007812,2369.34692382812,1718.97875976562,1963.36694335938,1908.74816894531,1841.86096191406
"157","P62857",1502.47021484375,1564.7509765625,1610.15551757812,1403.03332519531,NA,1110.94409179688,NA
"158","P62888",1300.22387695312,1451.85290527344,1475.36047363281,1363.30493164062,1431.01586914062,NA,NA
"159","P62899",2645.32568359375,2904.232421875,2481.37573242188,2697.02294921875,3058.46508789062,2473.9384765625,2020.2587890625
"160","P62906",1573.93713378906,2000.46752929688,2092.94140625,1888.76770019531,2061.81494140625,1765.69213867188,1636.26318359375
"161","P62913",1832.06726074219,1898.2138671875,2082.40307617188,1632.25134277344,1324.4140625,949.381103515625,NA
"162","P62917",2454.82690429688,2770.95092773438,2878.6953125,2711.73217773438,2715.1826171875,2513.568359375,2036.38391113281
"163","P62937",4691.1220703125,4986.4658203125,4658.07373046875,3800.76000976562,2622.18286132812,2972.72265625,3043.35424804688
"164","P63104",1374.08740234375,1479.32995605469,1430.03967285156,1357.42883300781,NA,1076.68347167969,1246.32275390625
"165","P63220",2435.14965820312,2634.30297851562,2657.923828125,2828.4794921875,2143.34985351562,2348.92236328125,2078.1484375
"166","P63241",2570.13647460938,2810.59448242188,2117.72241210938,2503.22973632812,2299.36376953125,1850.84375,2271.53930664062
"167","P63244",1640.48620605469,1647.75903320312,1587.02856445312,1678.29028320312,NA,1017.13684082031,1155.23303222656
"168","P63313",1735.734375,1249.33972167969,1560.5107421875,1375.59289550781,1941.27294921875,1762.72155761719,2166.08471679688
"169","P67809",1450.87915039062,1513.22351074219,1261.15698242188,1686.78796386719,1242.32153320312,NA,NA
"170","P67936-2",2447.66723632812,2010.50939941406,2465.74462890625,2257.98828125,2505.31591796875,1941.33947753906,1942.76147460938
"171","P68104;Q5VTE0",12343.75390625,13448.087890625,13796.1904296875,13239.7958984375,14311.068359375,11717.60546875,10542.076171875
"172","P68366;P68366-2",1083.96813964844,NA,NA,NA,NA,NA,NA
"173","P68371",3164.03002929688,3151.77661132812,3356.8369140625,3138.78369140625,2159.68041992188,1833.66418457031,1632.65405273438
"174","P68431",35035.30078125,36708.4296875,40202.49609375,40993.73046875,37347.30859375,28244.943359375,26386.859375
"175","P78417",1248.85571289062,1221.83129882812,1347.91967773438,1674.88854980469,NA,NA,NA
"176","P80723",2416.89575195312,2411.94384765625,2680.27172851562,2574.15625,2501.89379882812,1855.69165039062,2125.48217773438
"177","P84098",1519.25390625,1393.04650878906,1691.37353515625,1731.79919433594,1552.71984863281,1102.63610839844,1174.36853027344
"178","P84103;P84103-2",1259.09985351562,1648.42529296875,1470.17468261719,1375.05432128906,1420.7412109375,1115.19567871094,979.891784667969
"179","Q00325-2",1400.66613769531,1453.98901367188,1644.29797363281,1630.4970703125,NA,1185.525390625,NA
"180","Q00839",2964.59228515625,3376.38012695312,3256.23559570312,3139.6865234375,2146.81762695312,2162.79174804688,1952.24353027344
"181","Q01105",1396.67028808594,1437.97387695312,1386.12353515625,1306.48718261719,1464.94213867188,1179.56896972656,NA
"182","Q01130",1648.16088867188,1727.89489746094,1880.19714355469,2047.54052734375,1424.56335449219,1487.07958984375,1464.96850585938
"183","Q02543",1352.39367675781,1217.23864746094,1249.50695800781,1300.36694335938,1114.57739257812,NA,1395.724609375
"184","Q02878",1850.65747070312,2125.05834960938,2198.81567382812,2095.20581054688,1736.94775390625,1806.50915527344,1692.44970703125
"185","Q04695",1464.02514648438,1611.51123046875,1576.39111328125,1731.23071289062,1649.41784667969,1107.14599609375,1196.55126953125
"186","Q06830",7339.05029296875,8399.357421875,9074.7412109375,8507.9482421875,7319.46630859375,6033.08349609375,6658.13671875
"187","Q07020",2158.74169921875,2654.88061523438,2442.189453125,2712.89624023438,2291.45263671875,2123.79125976562,2144.4482421875
"188","Q07955",1485.46313476562,1692.009765625,1462.4208984375,1676.02514648438,NA,1102.22863769531,1125.23400878906
"189","Q09666",1746.97766113281,1768.23168945312,1857.61474609375,1575.25720214844,1289.18127441406,1343.74377441406,1084.07641601562
"190","Q12906;Q12906-7",1172.509765625,995.032836914062,NA,NA,NA,NA,NA
"191","Q13151",1150.40075683594,NA,NA,NA,NA,NA,NA
"192","Q13247;Q13247-3",1433.45678710938,1839.24328613281,1911.26928710938,2122.06176757812,NA,1436.90100097656,1344.79333496094
"193","Q13509",2160.13061523438,1978.56005859375,1702.3271484375,1237.99719238281,NA,892.215759277344,NA
"194","Q14103;Q14103-3",1491.41442871094,1854.36279296875,2093.16625976562,2152.95190429688,NA,1554.99926757812,1053.97546386719
"195","Q15185;Q15185-4",2992.69921875,2600.14233398438,2751.59057617188,2588.31201171875,2234.31713867188,1690.61694335938,1652.4453125
"196","Q15233",2493.87719726562,2704.86059570312,2591.2041015625,2477.6796875,2609.18994140625,2188.87768554688,2134.08178710938
"197","Q15365",1606.14526367188,1568.25646972656,1972.27160644531,1741.65026855469,1711.00598144531,1359.48669433594,1372.48864746094
"198","Q15366-3;Q15366-6",1136.7158203125,1503.8564453125,1297.947265625,1245.91870117188,NA,NA,NA
"199","Q5TEC6",2806.30834960938,3276.87231445312,3139.48364257812,2858.76196289062,2781.71752929688,2094.08618164062,1868.19921875
